Datetime,CPU
2023-04-05 00:56:46,False
2023-04-05 00:56:47,False
2023-04-05 00:56:48,False
2023-04-05 00:56:49,False
2023-04-05 00:56:50,False
2023-04-05 00:56:51,False
2023-04-05 00:56:52,False
2023-04-05 00:56:53,False
2023-04-05 00:56:54,False
2023-04-05 00:56:55,False
2023-04-05 00:56:56,False
2023-04-05 00:56:57,False
2023-04-05 00:56:58,False
2023-04-05 00:56:59,True
2023-04-05 00:57:00,True
2023-04-05 00:57:01,True
2023-04-05 00:57:02,True
2023-04-05 00:57:03,True
2023-04-05 00:57:04,True
2023-04-05 00:57:05,True
2023-04-05 00:57:07,True
2023-04-05 00:57:08,True
2023-04-05 00:57:09,True
2023-04-05 00:57:10,True
2023-04-05 00:57:11,True
2023-04-05 00:57:12,True
2023-04-05 00:57:13,True
2023-04-05 00:57:14,True
2023-04-05 00:57:15,False
2023-04-05 00:57:16,False
2023-04-05 00:57:17,True
2023-04-05 00:57:18,True
2023-04-05 00:57:19,True
2023-04-05 00:57:20,True
2023-04-05 00:57:21,True
2023-04-05 00:57:22,False
2023-04-05 00:57:23,False
2023-04-05 00:57:24,False
2023-04-05 00:57:25,False
2023-04-05 00:57:26,False
2023-04-05 00:57:27,False
2023-04-05 00:57:28,False
2023-04-05 00:57:29,False
2023-04-05 00:57:30,False
2023-04-05 00:57:31,False
2023-04-05 00:57:32,False
2023-04-05 00:57:33,False
2023-04-05 00:57:34,False
2023-04-05 00:57:35,False
2023-04-05 00:57:36,False
2023-04-05 00:57:37,False
2023-04-05 00:57:38,False
2023-04-05 00:57:39,False
2023-04-05 00:57:40,False
2023-04-05 00:57:41,False
2023-04-05 00:57:42,False
2023-04-05 00:57:43,False
2023-04-05 00:57:44,False
2023-04-05 00:57:45,False
2023-04-05 00:57:46,False
2023-04-05 00:57:47,False
2023-04-05 00:57:48,False
2023-04-05 00:57:49,False
2023-04-05 00:57:50,False
2023-04-05 00:57:51,False
2023-04-05 00:57:52,False
2023-04-05 00:57:53,False
2023-04-05 00:57:54,False
2023-04-05 00:57:55,False
2023-04-05 00:57:56,False
2023-04-05 00:57:57,False
2023-04-05 00:57:58,False
2023-04-05 00:57:59,False
2023-04-05 00:58:00,False
2023-04-05 00:58:01,False
2023-04-05 00:58:02,False
2023-04-05 00:58:03,False
2023-04-05 00:58:04,False
2023-04-05 00:58:05,False
2023-04-05 00:58:06,False
2023-04-05 00:58:07,False
2023-04-05 00:58:08,False
2023-04-05 00:58:09,False
2023-04-05 00:58:10,False
2023-04-05 00:58:11,False
2023-04-05 00:58:12,False
2023-04-05 00:58:13,False
2023-04-05 00:58:14,False
2023-04-05 00:58:15,False
2023-04-05 00:58:16,False
2023-04-05 00:58:17,False
2023-04-05 00:58:18,False
2023-04-05 00:58:19,False
2023-04-05 00:58:20,False
2023-04-05 00:58:21,False
2023-04-05 00:58:22,False
2023-04-05 00:58:23,False
2023-04-05 00:58:24,False
2023-04-05 00:58:25,False
2023-04-05 00:58:26,False
2023-04-05 00:58:27,False
2023-04-05 00:58:28,False
2023-04-05 00:58:29,False
2023-04-05 00:58:30,False
2023-04-05 00:58:31,False
2023-04-05 00:58:32,False
2023-04-05 00:58:33,False
2023-04-05 00:58:34,False
2023-04-05 00:58:35,False
2023-04-05 00:58:36,False
2023-04-05 00:58:37,False
2023-04-05 00:58:38,False
2023-04-05 00:58:39,False
2023-04-05 00:58:40,False
2023-04-05 00:58:41,False
2023-04-05 00:58:42,False
2023-04-05 00:58:43,False
2023-04-05 00:58:44,False
2023-04-05 00:58:45,False
2023-04-05 00:58:46,False
2023-04-05 00:58:47,False
2023-04-05 00:58:48,False
2023-04-05 00:58:49,False
2023-04-05 00:58:50,False
2023-04-05 00:58:51,False
2023-04-05 00:58:52,False
2023-04-05 00:58:53,False
2023-04-05 00:58:54,False
2023-04-05 00:58:55,False
2023-04-05 00:58:56,False
2023-04-05 00:58:57,False
2023-04-05 00:58:58,False
2023-04-05 00:58:59,False
2023-04-05 00:59:00,False
2023-04-05 00:59:01,False
2023-04-05 00:59:02,False
2023-04-05 00:59:03,False
2023-04-05 00:59:04,False
2023-04-05 00:59:05,False
2023-04-05 00:59:06,False
2023-04-05 00:59:07,False
2023-04-05 00:59:08,False
2023-04-05 00:59:09,False
2023-04-05 00:59:10,False
2023-04-05 00:59:11,False
2023-04-05 00:59:12,False
2023-04-05 00:59:13,False
2023-04-05 00:59:14,False
2023-04-05 00:59:15,False
2023-04-05 00:59:16,False
2023-04-05 00:59:17,False
2023-04-05 00:59:18,False
2023-04-05 00:59:19,False
2023-04-05 00:59:20,False
2023-04-05 00:59:21,False
2023-04-05 00:59:22,False
2023-04-05 00:59:23,False
2023-04-05 00:59:24,False
2023-04-05 00:59:25,False
2023-04-05 00:59:26,False
2023-04-05 00:59:27,False
2023-04-05 00:59:28,False
2023-04-05 00:59:29,False
2023-04-05 00:59:30,False
2023-04-05 00:59:31,False
2023-04-05 00:59:32,False
2023-04-05 00:59:33,False
2023-04-05 00:59:34,False
2023-04-05 00:59:35,False
2023-04-05 00:59:36,False
2023-04-05 00:59:37,False
2023-04-05 00:59:38,False
2023-04-05 00:59:39,False
2023-04-05 00:59:40,False
2023-04-05 00:59:41,False
2023-04-05 00:59:42,False
2023-04-05 00:59:43,False
2023-04-05 00:59:44,False
2023-04-05 00:59:45,False
2023-04-05 00:59:46,False
2023-04-05 00:59:48,False
2023-04-05 00:59:49,False
2023-04-05 00:59:50,False
2023-04-05 00:59:51,False
2023-04-05 00:59:52,False
2023-04-05 00:59:53,False
2023-04-05 00:59:54,False
2023-04-05 00:59:55,False
2023-04-05 00:59:56,False
2023-04-05 00:59:57,False
2023-04-05 00:59:58,False
2023-04-05 00:59:59,False
2023-04-05 01:00:00,False
2023-04-05 01:00:01,False
2023-04-05 01:00:02,False
2023-04-05 01:00:03,False
2023-04-05 01:00:04,False
2023-04-05 01:00:05,False
2023-04-05 01:00:06,False
2023-04-05 01:00:07,False
2023-04-05 01:00:08,False
2023-04-05 01:00:09,False
2023-04-05 01:00:10,False
2023-04-05 01:00:11,False
2023-04-05 01:00:12,False
2023-04-05 01:00:13,False
2023-04-05 01:00:14,False
2023-04-05 01:00:15,False
2023-04-05 01:00:16,False
2023-04-05 01:00:17,False
2023-04-05 01:00:18,False
2023-04-05 01:00:19,False
2023-04-05 01:00:20,False
2023-04-05 01:00:21,False
2023-04-05 01:00:22,False
2023-04-05 01:00:23,False
2023-04-05 01:00:24,False
2023-04-05 01:00:25,False
2023-04-05 01:00:26,False
2023-04-05 01:00:27,False
2023-04-05 01:00:28,False
2023-04-05 01:00:29,False
2023-04-05 01:00:30,False
2023-04-05 01:00:31,False
2023-04-05 01:00:32,False
2023-04-05 01:00:33,False
2023-04-05 01:00:34,False
2023-04-05 01:00:35,False
2023-04-05 01:00:36,False
2023-04-05 01:00:37,False
2023-04-05 01:00:38,False
2023-04-05 01:00:39,False
2023-04-05 01:00:40,False
2023-04-05 01:00:41,False
2023-04-05 01:00:42,False
2023-04-05 01:00:43,False
